id,listing_url,host_id,host_total_listings_count,latitude,longitude,property_type,room_type,price,minimum_nights,maximum_nights,availability_365,number_of_reviews
53874174,https://www.airbnb.com/rooms/53874174,215357262,101,51.5169,-0.13498,Entire serviced apartment,Entire home/apt,241.0,90,1125,344,1
19657865,https://www.airbnb.com/rooms/19657865,33821085,2,51.52566,-0.06554,Private room in rental unit,Private room,46.0,2,1125,0,16
19668662,https://www.airbnb.com/rooms/19668662,6214096,1,51.46186,-0.27373,Private room in home,Private room,22.0,3,1125,0,6
53930722,https://www.airbnb.com/rooms/53930722,52231114,3,51.48802,0.15077,Private room in villa,Private room,56.0,1,7,144,10
53931400,https://www.airbnb.com/rooms/53931400,7221053,13,51.51698,-0.07528,Entire condo,Entire home/apt,100.0,15,365,365,2
53947808,https://www.airbnb.com/rooms/53947808,43754868,64,51.53399,-0.11899,Entire condo,Entire home/apt,144.0,1,1125,62,14
54136741,https://www.airbnb.com/rooms/54136741,120910527,1,51.46987,-0.0933,Entire rental unit,Entire home/apt,130.0,90,1125,290,18
19672484,https://www.airbnb.com/rooms/19672484,74769370,1,51.53051,-0.08369,Private room in rental unit,Private room,54.0,3,1125,0,0
19717348,https://www.airbnb.com/rooms/19717348,39234450,4,51.49076717391126,-0.2309433992210118,Private room in cottage,Private room,65.0,4,10,71,95
19729261,https://www.airbnb.com/rooms/19729261,139083942,1,51.5143,-0.19679,Private room in home,Private room,449.0,1,2,365,0
19755480,https://www.airbnb.com/rooms/19755480,9835129,6,51.4921,-0.27861,Entire rental unit,Entire home/apt,154.0,7,1125,287,36
54158190,https://www.airbnb.com/rooms/54158190,45879933,3,51.52805,-0.36859,Private room in home,Private room,86.0,2,365,365,5
19758841,https://www.airbnb.com/rooms/19758841,23060438,1,51.42567,-0.16055,Entire home,Entire home/apt,122.0,7,1125,0,1
54304019,https://www.airbnb.com/rooms/54304019,13458589,1,51.52916,-0.02708,Entire condo,Entire home/apt,80.0,2,90,0,1
54324973,https://www.airbnb.com/rooms/54324973,81827675,22,51.51439,-0.03514,Entire condo,Entire home/apt,145.0,1,365,361,31
54327992,https://www.airbnb.com/rooms/54327992,19798601,2,51.47047,-0.04504,Entire home,Entire home/apt,90.0,3,35,14,27
19773717,https://www.airbnb.com/rooms/19773717,46650265,1,51.54916,-0.07384,Entire townhouse,Entire home/apt,225.0,4,1125,0,7
54396292,https://www.airbnb.com/rooms/54396292,56112397,2,51.46057,-0.17933,Entire home,Entire home/apt,195.0,5,365,0,8
541970899366846720,https://www.airbnb.com/rooms/541970899366846750,2565699,3,51.57752,-0.07626,Private room in home,Private room,40.0,2,1125,309,133
19786181,https://www.airbnb.com/rooms/19786181,33733794,1,51.59434,0.17826,Entire home,Entire home/apt,102.0,7,21,0,1
545474924144587584,https://www.airbnb.com/rooms/545474924144587605,245807805,1,51.49397,-0.07383,Entire condo,Entire home/apt,130.0,4,90,78,14
546003436065611904,https://www.airbnb.com/rooms/546003436065611887,20075805,1,51.47957,-0.06401,Private room in condo,Private room,65.0,1,90,63,9
546683538979181504,https://www.airbnb.com/rooms/546683538979181484,7701687,73,51.51318,-0.12782,Entire condo,Entire home/apt,285.0,3,365,243,46
19829014,https://www.airbnb.com/rooms/19829014,107149940,2,51.51364,-0.1763,Private room in condo,Private room,65.0,1,31,0,91
19889648,https://www.airbnb.com/rooms/19889648,140793859,1,51.42486,-0.32988,Entire home,Entire home/apt,140.0,5,7,0,4
546845989096769728,https://www.airbnb.com/rooms/546845989096769734,4296738,1,51.45484,-0.13993,Private room in home,Private room,61.0,3,31,0,53
547570011508612224,https://www.airbnb.com/rooms/547570011508612251,441920235,11,51.48123,-0.21731,Private room in home,Private room,60.0,1,1125,352,116
553521699267765760,https://www.airbnb.com/rooms/553521699267765770,105564995,263,51.51901,-0.16631,Entire rental unit,Entire home/apt,279.0,3,1125,81,4
19891066,https://www.airbnb.com/rooms/19891066,3986304,3,51.52903,-0.09136,Entire rental unit,Entire home/apt,90.0,2,10,0,7
19926637,https://www.airbnb.com/rooms/19926637,21602113,2,51.42418,-0.02497,Private room in rental unit,Private room,45.0,2,7,0,37
19928133,https://www.airbnb.com/rooms/19928133,58301098,1,51.58645,0.06839,Private room in rental unit,Private room,39.0,1,10,0,2
554659020406421056,https://www.airbnb.com/rooms/554659020406421037,298989462,11,51.56171,0.07092,Room in hotel,Private room,402.0,1,365,114,8
19977938,https://www.airbnb.com/rooms/19977938,1456999,4,51.50965817272438,-0.1931590759929973,Entire rental unit,Entire home/apt,119.0,3,1125,76,262
554804389139748864,https://www.airbnb.com/rooms/554804389139748869,199959264,3,51.61793,-0.08264,Entire townhouse,Entire home/apt,269.0,4,365,162,6
20844051,https://www.airbnb.com/rooms/20844051,22159377,2,51.51732,-0.07204,Private room in rental unit,Private room,60.0,6,1125,0,69
20913396,https://www.airbnb.com/rooms/20913396,14268822,1,51.60672,-0.29541,Private room in rental unit,Private room,20.0,1,1125,0,1
555862361748703616,https://www.airbnb.com/rooms/555862361748703614,2732739,1,51.52975931931436,-0.0961914906073122,Entire loft,Entire home/apt,115.0,8,50,25,0
21007420,https://www.airbnb.com/rooms/21007420,96404535,1,51.53917,-0.0774,Private room in rental unit,Private room,47.0,9,25,83,0
21017387,https://www.airbnb.com/rooms/21017387,32955638,2,51.52108,-0.0658,Private room in home,Private room,50.0,2,15,0,0
21034709,https://www.airbnb.com/rooms/21034709,14942580,2,51.46441,-0.10668,Entire townhouse,Entire home/apt,192.0,5,1125,0,7
557169329104331520,https://www.airbnb.com/rooms/557169329104331501,310123036,2,51.53997,-0.02181,Private room in condo,Private room,65.0,5,365,179,6
562118259217557056,https://www.airbnb.com/rooms/562118259217557037,153229519,81,51.52105,-0.14063,Entire rental unit,Entire home/apt,266.0,3,1125,355,11
562222290805495616,https://www.airbnb.com/rooms/562222290805495632,35353468,1,51.57782,-0.0793,Entire condo,Entire home/apt,167.0,7,28,178,2
563710320561867264,https://www.airbnb.com/rooms/563710320561867241,49979699,5,51.52999,-0.21822,Private room in condo,Private room,54.0,2,90,74,20
21042492,https://www.airbnb.com/rooms/21042492,2178118,1,51.52854,-0.04996,Private room in rental unit,Private room,40.0,5,1125,0,1
563769692207745728,https://www.airbnb.com/rooms/563769692207745720,29652675,5,51.55246,-0.07776,Private room in home,Private room,95.0,3,365,337,27
564166293787262528,https://www.airbnb.com/rooms/564166293787262529,2125620,602,51.49139,-0.17984,Entire rental unit,Entire home/apt,190.0,3,365,65,14
568695909573220416,https://www.airbnb.com/rooms/568695909573220428,39932852,155,51.51209886401148,-0.1828716976555938,Entire rental unit,Entire home/apt,169.0,4,365,156,11
21062617,https://www.airbnb.com/rooms/21062617,25790643,1,51.55011,-0.08079,Private room in rental unit,Private room,50.0,2,14,0,0
21065584,https://www.airbnb.com/rooms/21065584,151790588,1,51.50759,-0.06522,Entire rental unit,Entire home/apt,100.0,12,1125,0,3
568900440316372288,https://www.airbnb.com/rooms/568900440316372298,308498786,8,51.41014,-0.30106,Private room in condo,Private room,51.0,1,365,28,30
575359301104762560,https://www.airbnb.com/rooms/575359301104762559,64995499,47,51.54272,-0.17811,Entire condo,Entire home/apt,114.0,6,365,334,1
21066814,https://www.airbnb.com/rooms/21066814,7466577,8,51.5515,0.08752,Private room in home,Private room,30.0,2,1125,0,6
21160874,https://www.airbnb.com/rooms/21160874,42520278,1,51.51759,0.01068,Entire condo,Entire home/apt,51.0,2,1125,0,10
21180877,https://www.airbnb.com/rooms/21180877,146196470,1,51.44707,-0.15177,Entire rental unit,Entire home/apt,45.0,1,1125,0,0
576793336229738880,https://www.airbnb.com/rooms/576793336229738860,33466975,1,51.54208,-0.08664,Entire rental unit,Entire home/apt,150.0,10,20,141,6
21215639,https://www.airbnb.com/rooms/21215639,24446733,3,51.35144,-0.09091,Private room in home,Private room,42.0,2,30,43,44
577976477680632192,https://www.airbnb.com/rooms/577976477680632231,187471016,7,51.5984,-0.09119,Entire home,Entire home/apt,145.0,1,365,0,4
582557717837611008,https://www.airbnb.com/rooms/582557717837610996,449557183,1,51.49127,-0.1489,Private room in bed and breakfast,Private room,55.0,1,1,0,4
583039419127507712,https://www.airbnb.com/rooms/583039419127507660,1432477,566,51.49181,-0.30482,Entire rental unit,Entire home/apt,364.0,3,1125,341,3
588391676167479680,https://www.airbnb.com/rooms/588391676167479689,430770242,2,51.54763,-0.05655,Entire condo,Entire home/apt,164.0,1,365,346,9
589601343600761088,https://www.airbnb.com/rooms/589601343600761097,447096752,14,51.510387,-0.196917,Room in aparthotel,Private room,210.0,1,28,279,22
590042152029192448,https://www.airbnb.com/rooms/590042152029192444,22412846,24,51.48681,-0.14364,Private room in townhouse,Private room,123.0,2,90,80,31
21310667,https://www.airbnb.com/rooms/21310667,152168416,1,51.49609,-0.15962,Entire home,Entire home/apt,350.0,5,1125,0,0
590936771424958848,https://www.airbnb.com/rooms/590936771424958786,5572619,1,51.51979,-0.03837,Entire vacation home,Entire home/apt,80.0,4,365,0,2
21324963,https://www.airbnb.com/rooms/21324963,154365420,1,51.44856,-0.24413,Private room in condo,Private room,49.0,1,1125,0,0
21331971,https://www.airbnb.com/rooms/21331971,5160290,5,51.53486,-0.06935,Private room in rental unit,Private room,600.0,2,1125,0,2
21356629,https://www.airbnb.com/rooms/21356629,26496543,1,51.57936,-0.11263,Entire townhouse,Entire home/apt,159.0,4,1125,0,37
21357102,https://www.airbnb.com/rooms/21357102,154606933,3,51.4446,-0.38593,Private room in home,Private room,36.0,1,10,350,185
591077054524683904,https://www.airbnb.com/rooms/591077054524683921,451328799,1,51.52021,-0.29881,Entire condo,Entire home/apt,83.0,14,80,85,2
21362819,https://www.airbnb.com/rooms/21362819,74867115,1,51.4419,-0.21722,Entire rental unit,Entire home/apt,105.0,10,90,0,6
591221358025925376,https://www.airbnb.com/rooms/591221358025925390,37644100,2,51.57439,-0.03108,Entire condo,Entire home/apt,110.0,7,21,351,8
594617486451714816,https://www.airbnb.com/rooms/594617486451714880,7299072,3,51.58508,-0.11581,Private room in rental unit,Private room,49.0,2,30,254,29
21497776,https://www.airbnb.com/rooms/21497776,23234040,152,51.4389,-0.18206,Entire rental unit,Entire home/apt,109.0,2,1125,0,11
21522002,https://www.airbnb.com/rooms/21522002,7626153,1,51.54415,-0.19593,Entire rental unit,Entire home/apt,81.0,2,1125,0,9
21525006,https://www.airbnb.com/rooms/21525006,67633751,2,51.50117,-0.10793,Entire condo,Entire home/apt,100.0,2,1125,21,21
595622793438845824,https://www.airbnb.com/rooms/595622793438845855,53279372,2,51.414131,-0.305066,Entire condo,Entire home/apt,161.0,2,1125,291,12
21575986,https://www.airbnb.com/rooms/21575986,156158778,534,51.48439,-0.17812,Entire rental unit,Entire home/apt,1001.0,1,1125,0,2
596054718393577472,https://www.airbnb.com/rooms/596054718393577482,23905391,1,51.55536,-0.11543,Private room in home,Private room,59.0,3,365,83,6
21644518,https://www.airbnb.com/rooms/21644518,131670745,24,51.48872,-0.29136,Entire rental unit,Entire home/apt,143.0,3,365,356,17
21656386,https://www.airbnb.com/rooms/21656386,157610816,5,51.50613,-0.24495,Entire condo,Entire home/apt,100.0,90,200,178,100
599970319798219392,https://www.airbnb.com/rooms/599970319798219359,120402613,1,51.36216,-0.09333,Entire home,Entire home/apt,117.0,3,365,152,38
601164471210207104,https://www.airbnb.com/rooms/601164471210207114,37861595,1,51.54617,-0.0551,Entire rental unit,Entire home/apt,180.0,3,365,358,3
602209865117313536,https://www.airbnb.com/rooms/602209865117313579,453669723,2,51.474,-0.18425,Entire rental unit,Entire home/apt,105.0,1,365,320,9
602652668701842944,https://www.airbnb.com/rooms/602652668701842942,453754620,15,51.56173,-0.29279,Private room in rental unit,Private room,45.0,2,65,168,53
613803524817167488,https://www.airbnb.com/rooms/613803524817167508,452831474,2,51.60099,-0.39581,Entire home,Entire home/apt,185.0,4,365,21,11
615078368790374528,https://www.airbnb.com/rooms/615078368790374589,47542963,136,51.51507,-0.19434,Entire rental unit,Entire home/apt,176.0,3,1125,4,2
620879705032937344,https://www.airbnb.com/rooms/620879705032937347,6480770,1,51.54947,-0.2057,Entire condo,Entire home/apt,300.0,14,60,358,0
621059496152740224,https://www.airbnb.com/rooms/621059496152740249,436625733,28,51.51705,-0.16617,Entire serviced apartment,Entire home/apt,250.0,7,28,7,2
621131225876310272,https://www.airbnb.com/rooms/621131225876310317,450528902,76,51.48281,-0.21153,Entire condo,Entire home/apt,250.0,5,365,81,0
621561351687135872,https://www.airbnb.com/rooms/621561351687135816,314415605,2,51.53021,-0.2199,Entire condo,Entire home/apt,120.0,15,1125,0,2
625238769953600768,https://www.airbnb.com/rooms/625238769953600827,425357637,2,51.51886,-0.19599,Entire condo,Entire home/apt,147.0,2,365,0,18
625966512033456512,https://www.airbnb.com/rooms/625966512033456541,33889201,793,51.4492,-0.18018,Entire home,Entire home/apt,2831.0,21,1125,0,0
629159901114372608,https://www.airbnb.com/rooms/629159901114372598,162541225,32,51.61522,-0.17539,Entire serviced apartment,Entire home/apt,207.0,14,365,356,2
21672601,https://www.airbnb.com/rooms/21672601,45709430,1,51.54299,-0.1018,Entire rental unit,Entire home/apt,120.0,4,1125,0,3
629285186784154112,https://www.airbnb.com/rooms/629285186784154071,9931757,2,51.46437,-0.21007,Entire townhouse,Entire home/apt,495.0,14,21,227,1
629477041198989696,https://www.airbnb.com/rooms/629477041198989743,157297119,1,51.46965,-0.13753,Private room in condo,Private room,113.0,2,50,343,6
629519537136844160,https://www.airbnb.com/rooms/629519537136844172,105564995,263,51.4944,-0.23271,Entire home,Entire home/apt,274.0,3,1125,32,7
21676425,https://www.airbnb.com/rooms/21676425,1122293,1,51.50889,0.01774,Entire home,Entire home/apt,130.0,5,19,0,0
21676489,https://www.airbnb.com/rooms/21676489,6774,15,51.52462,-0.06921,Entire rental unit,Entire home/apt,180.0,14,20,12,36
21689633,https://www.airbnb.com/rooms/21689633,22339889,1,51.53498,-0.21746,Private room in townhouse,Private room,60.0,2,10,0,0
21690106,https://www.airbnb.com/rooms/21690106,157906042,1,51.49744,-0.26952,Entire rental unit,Entire home/apt,120.0,1,1125,0,43
629567094088701312,https://www.airbnb.com/rooms/629567094088701296,450587918,34,51.49596,-0.09107,Entire home,Entire home/apt,125.0,2,365,7,21
629745232207798144,https://www.airbnb.com/rooms/629745232207798133,48066622,4,51.48951,-0.30061,Entire condo,Entire home/apt,135.0,90,365,342,0
21693019,https://www.airbnb.com/rooms/21693019,146594021,95,51.51514,-0.1333,Entire home,Entire home/apt,550.0,30,588,365,0
631872903130501888,https://www.airbnb.com/rooms/631872903130501859,451798616,2,51.372604,-0.19462,Tiny home,Entire home/apt,60.0,2,30,44,47
632339797569710976,https://www.airbnb.com/rooms/632339797569710994,15471443,1,51.443085,-0.145388,Private room in condo,Private room,59.0,2,5,68,50
635374647003365376,https://www.airbnb.com/rooms/635374647003365412,450528902,76,51.51725,-0.1645,Entire condo,Entire home/apt,267.0,7,365,0,0
635382652441358592,https://www.airbnb.com/rooms/635382652441358609,19517493,1,51.46934,-0.05609,Entire home,Entire home/apt,150.0,8,21,0,10
638863090150378240,https://www.airbnb.com/rooms/638863090150378183,129230780,5094,51.49977,-0.29928,Entire rental unit,Entire home/apt,1000.0,3,365,0,0
639095523040745728,https://www.airbnb.com/rooms/639095523040745773,369957358,9,51.52586,-0.1154,Private room in rental unit,Private room,70.0,2,365,0,14
639315234470574848,https://www.airbnb.com/rooms/639315234470574854,412386648,21,51.4975,-0.09834,Private room in condo,Private room,68.0,1,365,345,28
21698710,https://www.airbnb.com/rooms/21698710,8047665,2,51.57013,-0.18901,Private room in condo,Private room,96.0,1,5,179,25
21715383,https://www.airbnb.com/rooms/21715383,158108821,1,51.52944,-0.11216,Private room in home,Private room,115.0,1,30,0,0
